                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.087,                 2.8783,                 2.8878,                0.35809,                0.18611,                0.17703,                0.07834,                 2.1363,                 1.6977,                 1.9447,             0.00036934,             0.00036934,             0.00036934
                      2,                 1.9792,                 1.5719,                 1.7115,                0.32454,                0.28691,                0.25968,                0.12937,                 1.7954,                 1.4519,                 1.6074,             0.00070306,             0.00070306,             0.00070306
                      3,                 1.6971,                  1.322,                 1.5018,                0.46592,                0.37634,                0.38333,                0.20471,                 1.6159,                 1.1927,                 1.4813,              0.0010001,              0.0010001,              0.0010001
                      4,                 1.5315,                  1.177,                 1.3878,                0.59108,                0.41577,                0.46228,                0.25338,                 1.4507,                 1.0496,                 1.3602,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.4324,                  1.072,                 1.3262,                0.57969,                0.46649,                0.50204,                0.29477,                 1.3027,                0.97004,                 1.2758,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.3461,                0.98722,                 1.2698,                0.59575,                0.50701,                0.54284,                0.33171,                 1.2132,                0.87653,                 1.2312,             0.00083603,             0.00083603,             0.00083603
                      7,                  1.289,                0.93256,                 1.2392,                0.66403,                0.53944,                0.59461,                0.36897,                  1.171,                0.81778,                 1.1988,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.2289,                0.88181,                 1.2024,                0.69789,                0.55049,                0.61213,                0.38412,                 1.1299,                0.78812,                 1.1762,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.1949,                0.84676,                 1.1873,                0.71784,                0.56114,                0.64898,                0.41289,                 1.1158,                0.76086,                 1.1638,             0.00067104,             0.00067104,             0.00067104
                     10,                 1.1601,                0.81596,                 1.1663,                0.73842,                0.58697,                0.67872,                0.43224,                  1.082,                0.72039,                 1.1453,             0.00061605,             0.00061605,             0.00061605
                     11,                 1.1248,                0.77425,                 1.1517,                0.76177,                0.58097,                0.67232,                0.43646,                 1.0759,                0.72718,                 1.1404,             0.00056105,             0.00056105,             0.00056105
                     12,                 1.0908,                0.74019,                 1.1292,                0.75565,                0.60777,                0.69089,                0.44124,                 1.0716,                0.71552,                 1.1421,             0.00050606,             0.00050606,             0.00050606
                     13,                 1.0672,                0.71329,                 1.1179,                 0.7384,                 0.6156,                0.70217,                0.45555,                 1.0484,                0.70622,                 1.1322,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.0433,                0.69147,                 1.1083,                0.78646,                0.62597,                 0.7148,                0.47198,                 1.0087,                0.66421,                 1.1078,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.0174,                0.66978,                 1.0928,                 0.7915,                0.62314,                0.72182,                0.48489,                 1.0054,                0.67343,                 1.1084,             0.00034108,             0.00034108,             0.00034108
                     16,                0.99172,                  0.648,                 1.0831,                0.80933,                 0.6333,                0.74103,                0.49422,                0.98862,                0.64699,                 1.0979,             0.00028608,             0.00028608,             0.00028608
                     17,                0.96588,                0.62322,                 1.0677,                0.81736,                0.66483,                0.76043,                0.50956,                0.95691,                0.61462,                 1.0808,             0.00023109,             0.00023109,             0.00023109
                     18,                0.94518,                0.60614,                 1.0544,                0.83185,                0.67727,                0.77527,                0.52667,                0.94395,                0.60382,                  1.073,             0.00017609,             0.00017609,             0.00017609
                     19,                0.92111,                0.58413,                 1.0449,                0.83578,                 0.6885,                0.78544,                0.53235,                0.92756,                0.59215,                 1.0645,              0.0001211,              0.0001211,              0.0001211
                     20,                0.90355,                0.57105,                 1.0366,                0.83405,                0.70021,                 0.7968,                0.54597,                0.91291,                0.58132,                 1.0584,             6.6105e-05,             6.6105e-05,             6.6105e-05
