                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9533,                  3.151,                  3.124,                0.22586,                0.22964,                 0.1543,                0.06749,                 2.1865,                 2.0523,                 2.2784,             0.00036934,             0.00036934,             0.00036934
                      2,                 1.9915,                 1.8979,                 2.0062,                0.38221,                0.30594,                0.28215,                0.14048,                 1.7747,                  1.631,                 1.8721,             0.00070306,             0.00070306,             0.00070306
                      3,                 1.7275,                 1.5766,                 1.7522,                0.45433,                0.37537,                0.39132,                0.22044,                 1.5524,                 1.3677,                 1.6748,              0.0010001,              0.0010001,              0.0010001
                      4,                   1.57,                 1.4214,                 1.6179,                0.46143,                 0.3906,                0.40656,                0.23986,                 1.4137,                 1.2771,                 1.5686,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.4691,                 1.2831,                  1.536,                0.54542,                0.45917,                0.48594,                0.29633,                 1.3608,                 1.1654,                 1.5038,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.3873,                 1.1859,                 1.4724,                0.67083,                 0.4957,                0.57058,                0.34896,                 1.2475,                 1.0192,                 1.4198,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.3262,                 1.1162,                 1.4304,                0.64489,                0.53934,                0.58736,                0.36508,                 1.2257,                0.98159,                    1.4,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.2739,                 1.0549,                 1.3882,                0.69334,                 0.5547,                  0.627,                0.39451,                 1.1634,                0.92131,                 1.3506,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.2339,                 1.0055,                 1.3636,                0.72414,                0.58168,                 0.6665,                0.42398,                 1.1373,                0.87468,                 1.3383,             0.00067104,             0.00067104,             0.00067104
                     10,                  1.196,                0.96156,                 1.3332,                0.73322,                0.59804,                0.67879,                0.43866,                 1.1085,                0.84521,                 1.2992,             0.00061605,             0.00061605,             0.00061605
                     11,                 1.1531,                0.91364,                 1.3213,                0.73306,                 0.6223,                0.68779,                0.45132,                 1.0943,                0.83603,                 1.3056,             0.00056105,             0.00056105,             0.00056105
                     12,                 1.1173,                0.86806,                 1.2965,                0.74958,                0.64592,                0.71863,                0.47556,                 1.0852,                0.83169,                 1.2871,             0.00050606,             0.00050606,             0.00050606
                     13,                  1.096,                0.83615,                 1.2785,                0.77444,                0.64838,                0.73449,                0.49316,                 1.0532,                 0.7948,                 1.2745,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.0662,                0.80808,                 1.2615,                0.75639,                0.67123,                0.74388,                0.49744,                 1.0409,                0.78629,                 1.2691,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.0363,                0.77637,                  1.241,                0.79885,                0.66983,                0.76273,                0.51263,                  1.022,                0.75794,                 1.2531,             0.00034108,             0.00034108,             0.00034108
                     16,                 1.0235,                0.75322,                 1.2288,                0.82546,                0.69298,                0.78455,                0.54061,                0.99259,                0.72692,                 1.2291,             0.00028608,             0.00028608,             0.00028608
                     17,                0.99337,                0.72625,                  1.212,                0.82781,                0.69932,                0.79744,                0.54625,                0.98512,                0.72152,                 1.2246,             0.00023109,             0.00023109,             0.00023109
                     18,                0.97327,                 0.7043,                  1.197,                 0.8324,                0.72633,                0.81771,                0.56256,                0.96394,                0.68465,                 1.2086,             0.00017609,             0.00017609,             0.00017609
                     19,                0.94597,                0.67674,                 1.1802,                  0.858,                0.73947,                0.83118,                0.57183,                0.94504,                0.67438,                 1.1999,              0.0001211,              0.0001211,              0.0001211
                     20,                0.93067,                0.66357,                 1.1704,                 0.8695,                0.74928,                0.83946,                0.59089,                0.92903,                 0.6526,                 1.1879,             6.6105e-05,             6.6105e-05,             6.6105e-05
