                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0738,                 2.8895,                 2.9106,                0.37456,                0.18293,                0.14067,                0.06261,                 2.1404,                 1.7166,                 1.9411,             0.00036934,             0.00036934,             0.00036934
                      2,                 1.9632,                 1.5675,                 1.6771,                0.37286,                0.32713,                0.30774,                0.15739,                 1.6631,                 1.3019,                 1.5042,             0.00070306,             0.00070306,             0.00070306
                      3,                 1.6902,                 1.3189,                 1.4677,                0.42134,                0.37193,                0.35597,                0.18136,                  1.611,                 1.1785,                 1.4436,              0.0010001,              0.0010001,              0.0010001
                      4,                 1.5238,                 1.1769,                 1.3589,                0.52985,                 0.4388,                0.45533,                0.25544,                 1.3869,                 1.0288,                 1.2994,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.4104,                 1.0645,                 1.2909,                0.57188,                0.48085,                0.50282,                0.30333,                 1.2591,                0.91037,                 1.2341,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.3317,                0.98027,                 1.2438,                0.65906,                0.48485,                0.55052,                0.33297,                 1.2194,                0.88874,                 1.2063,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.2775,                0.93216,                 1.2165,                 0.6099,                0.53713,                0.57087,                0.35461,                 1.1614,                0.84601,                 1.1829,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.2191,                0.88219,                  1.185,                 0.6917,                0.55789,                0.61687,                0.38483,                 1.1393,                0.80435,                 1.1597,             0.00072604,             0.00072604,             0.00072604
                      9,                  1.189,                0.84211,                  1.169,                0.70834,                0.53684,                0.62021,                0.39239,                 1.1076,                0.76486,                 1.1426,             0.00067104,             0.00067104,             0.00067104
                     10,                 1.1496,                0.81274,                 1.1484,                 0.7581,                0.56658,                0.66378,                0.41891,                 1.0623,                0.71846,                 1.1168,             0.00061605,             0.00061605,             0.00061605
                     11,                 1.1097,                0.76823,                 1.1333,                0.77019,                0.57575,                0.66886,                0.42075,                 1.0764,                0.72309,                 1.1193,             0.00056105,             0.00056105,             0.00056105
                     12,                 1.0813,                0.73779,                 1.1116,                0.76607,                0.59923,                 0.6906,                0.44061,                 1.0603,                0.69928,                 1.1135,             0.00050606,             0.00050606,             0.00050606
                     13,                 1.0555,                0.71038,                 1.1023,                0.77626,                 0.6065,                0.69998,                0.44861,                 1.0334,                0.69599,                 1.1047,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.0345,                0.68872,                  1.093,                0.80182,                0.62535,                0.71482,                0.46543,                 1.0077,                0.65742,                 1.0903,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.0078,                0.66857,                   1.08,                0.79925,                0.63627,                0.72597,                0.48204,                0.99827,                0.64928,                 1.0847,             0.00034108,             0.00034108,             0.00034108
                     16,                0.98018,                0.64226,                 1.0678,                0.81172,                0.65387,                0.75182,                0.49972,                0.97209,                0.62271,                 1.0696,             0.00028608,             0.00028608,             0.00028608
                     17,                0.95575,                0.62031,                 1.0529,                0.81201,                0.66933,                0.76164,                0.50925,                0.96206,                0.60649,                 1.0651,             0.00023109,             0.00023109,             0.00023109
                     18,                 0.9379,                0.60363,                 1.0429,                0.84016,                0.66672,                0.77061,                0.52041,                0.93909,                0.59255,                 1.0562,             0.00017609,             0.00017609,             0.00017609
                     19,                0.91058,                0.58045,                 1.0334,                0.86517,                 0.6852,                0.78656,                0.53459,                0.92358,                0.57513,                 1.0463,              0.0001211,              0.0001211,              0.0001211
                     20,                0.89796,                0.57001,                 1.0259,                0.87753,                0.68412,                0.79173,                0.54294,                0.91342,                0.56872,                 1.0437,             6.6105e-05,             6.6105e-05,             6.6105e-05
