                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2575,                 3.5989,                 3.5494,                0.87069,                0.07954,                 0.0783,                0.03028,                   2.42,                 2.3338,                 2.6065,             0.00023673,             0.00023673,             0.00023673
                      2,                 2.1983,                 2.1297,                 2.2232,                0.32134,                0.24239,                0.23992,                0.12242,                 1.9212,                 1.7536,                 2.0248,             0.00045123,             0.00045123,             0.00045123
                      3,                 1.8902,                 1.7605,                 1.8992,                 0.3737,                0.31879,                0.28532,                0.15531,                 1.6954,                 1.6086,                 1.7719,             0.00064217,             0.00064217,             0.00064217
                      4,                 1.6947,                 1.5315,                 1.7154,                0.47335,                0.37754,                0.39057,                0.22731,                 1.5094,                 1.3535,                 1.6279,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.5616,                 1.3733,                 1.6043,                0.56592,                0.43454,                0.47538,                 0.2756,                 1.4518,                 1.2409,                 1.5682,             0.00057263,             0.00057263,             0.00057263
                      6,                 1.4571,                 1.2516,                 1.5331,                0.63237,                0.48403,                0.53046,                0.31748,                 1.3206,                 1.0976,                 1.4741,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.3789,                 1.1662,                 1.4751,                0.62798,                0.53363,                0.57413,                 0.3437,                 1.2765,                 1.0257,                 1.4329,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.3191,                  1.082,                 1.4134,                0.65298,                0.53289,                0.60146,                0.37677,                 1.2071,                0.97306,                 1.3783,              0.0004666,              0.0004666,              0.0004666
                      9,                 1.2642,                 1.0256,                 1.3815,                 0.7037,                0.57219,                 0.6391,                0.40032,                 1.1779,                0.91815,                 1.3645,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.2309,                0.98109,                 1.3556,                0.74588,                0.59248,                0.67773,                0.43057,                  1.127,                0.86562,                 1.3231,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.1884,                0.94261,                 1.3437,                0.75347,                0.60762,                0.68802,                0.44006,                  1.129,                0.87087,                 1.3315,             0.00036057,             0.00036057,             0.00036057
                     12,                 1.1553,                0.89508,                 1.3192,                0.75001,                 0.6159,                0.69856,                0.44666,                 1.1279,                0.85904,                 1.3146,             0.00032523,             0.00032523,             0.00032523
                     13,                  1.113,                 0.8558,                 1.2853,                0.76961,                0.67409,                0.73633,                0.47233,                 1.0864,                0.81051,                 1.2871,             0.00028988,             0.00028988,             0.00028988
                     14,                 1.0819,                0.82106,                 1.2729,                0.80521,                0.64024,                0.73087,                0.48339,                 1.0601,                0.80023,                 1.2756,             0.00025454,             0.00025454,             0.00025454
                     15,                 1.0793,                0.80668,                 1.2671,                 0.8107,                 0.6726,                0.76575,                0.50183,                 1.0501,                0.76747,                 1.2631,              0.0002192,              0.0002192,              0.0002192
                     16,                 1.0576,                0.79233,                 1.2532,                0.82361,                0.68642,                0.77404,                0.51222,                 1.0384,                0.74899,                 1.2574,             0.00018385,             0.00018385,             0.00018385
                     17,                 1.0287,                0.75435,                  1.229,                0.81611,                0.70943,                0.78813,                0.53714,                 1.0175,                0.73818,                 1.2446,             0.00014851,             0.00014851,             0.00014851
                     18,                 1.0007,                0.72592,                 1.2196,                0.84223,                0.69621,                0.79921,                0.54698,                0.99242,                0.70893,                 1.2241,             0.00011317,             0.00011317,             0.00011317
                     19,                0.97952,                0.70855,                 1.1979,                0.84766,                   0.72,                0.81309,                0.55411,                0.98429,                0.69938,                 1.2213,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.96107,                0.69135,                 1.1891,                0.84058,                0.73227,                0.81862,                0.56427,                0.96673,                 0.6861,                 1.2077,             4.2483e-05,             4.2483e-05,             4.2483e-05
