                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3296,                 3.7116,                  3.593,                0.47774,                0.09294,                0.05641,                0.01918,                 2.6908,                 2.5827,                 2.7767,             0.00023673,             0.00023673,             0.00023673
                      2,                    2.3,                 2.2869,                 2.2312,                0.24136,                0.25179,                0.19986,                0.09796,                 1.9516,                 1.8986,                 1.9906,             0.00045123,             0.00045123,             0.00045123
                      3,                 1.9919,                 1.9167,                 1.9324,                 0.4365,                  0.309,                0.30801,                0.15777,                 1.7518,                 1.6282,                 1.8039,             0.00064217,             0.00064217,             0.00064217
                      4,                 1.8156,                 1.6838,                 1.7658,                0.45245,                0.37237,                0.37621,                0.20307,                 1.6106,                 1.4574,                   1.66,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.6742,                 1.5238,                 1.6536,                0.48823,                0.40699,                0.42228,                0.22567,                 1.5725,                 1.3919,                 1.6266,             0.00057263,             0.00057263,             0.00057263
                      6,                  1.588,                 1.4194,                 1.5936,                0.55791,                0.43867,                0.46317,                0.26229,                 1.4521,                 1.2566,                 1.5504,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.5171,                 1.3408,                  1.538,                 0.5026,                 0.4677,                0.47663,                0.26806,                 1.4446,                 1.2148,                 1.5285,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.4528,                 1.2401,                 1.4775,                0.58669,                0.47697,                0.52318,                0.30634,                 1.3621,                 1.1287,                 1.4628,              0.0004666,              0.0004666,              0.0004666
                      9,                  1.396,                  1.183,                 1.4445,                0.61132,                0.50732,                0.55758,                0.33179,                 1.3149,                 1.0662,                 1.4199,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.3514,                 1.1353,                 1.4098,                0.65128,                0.50337,                0.57142,                0.34611,                 1.2902,                  1.049,                 1.4043,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.2941,                 1.0822,                 1.3891,                0.63591,                0.50898,                0.56716,                0.34324,                 1.2809,                 1.0574,                 1.4076,             0.00036057,             0.00036057,             0.00036057
                     12,                 1.2628,                  1.037,                 1.3645,                0.66625,                0.55335,                 0.6201,                0.38279,                 1.2332,                0.98568,                 1.3654,             0.00032523,             0.00032523,             0.00032523
                     13,                  1.227,                 0.9922,                 1.3398,                0.69489,                0.57276,                0.63999,                0.39845,                 1.2366,                 0.9627,                 1.3662,             0.00028988,             0.00028988,             0.00028988
                     14,                 1.1933,                0.95996,                 1.3229,                 0.7238,                0.57291,                0.65269,                0.40212,                 1.2069,                0.95819,                 1.3455,             0.00025454,             0.00025454,             0.00025454
                     15,                 1.1905,                0.94541,                 1.3154,                0.69452,                0.59497,                0.66736,                  0.418,                 1.1845,                0.92077,                 1.3317,              0.0002192,              0.0002192,              0.0002192
                     16,                 1.1667,                0.92844,                 1.3033,                0.72779,                0.61555,                0.68731,                0.43487,                 1.1644,                0.91631,                  1.315,             0.00018385,             0.00018385,             0.00018385
                     17,                 1.1376,                0.89028,                 1.2793,                0.78187,                0.60381,                0.69873,                0.44754,                 1.1518,                0.89328,                   1.31,             0.00014851,             0.00014851,             0.00014851
                     18,                 1.1197,                0.86788,                 1.2744,                0.78255,                0.61056,                0.70346,                0.44959,                 1.1361,                0.87605,                 1.2986,             0.00011317,             0.00011317,             0.00011317
                     19,                 1.1041,                0.85064,                 1.2556,                0.74694,                0.63667,                0.71599,                 0.4645,                  1.116,                0.85986,                 1.2858,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                 1.0818,                0.82747,                 1.2444,                0.76425,                0.63735,                0.71995,                0.46739,                 1.1075,                0.86009,                 1.2772,             4.2483e-05,             4.2483e-05,             4.2483e-05
